Song title, Rapper, Part Retrieved, Link
All gods bless us, RYKEY DADDY DIRTY, 0:22 - 1:05, https://youtu.be/6r8I4IZAma0
Ame (feat. MuKuRo), 唾奇xHANG, 0:21 - 1:03, https://youtu.be/xJ6FOpwHcrE
AREA AREA, OZROSAURUS, 0:21 - 1:03, https://youtu.be/js3KM8rx8W4
betty boop, DJ JAM (YENTOWN)  feat. OZworld a.k.a. R'kuma, 0:09 - 0:49, https://youtu.be/xQQy9LUQb4o
BlAqDeViL, sillent killa joint, 0:36 - 1:17, https://youtu.be/CM2doEKEjzM
bluma to lunch, BLOOM SQUAD, 0:17 - 0:59, https://youtu.be/OOn6gmyGkJA
BUDS MONTAGE, 舐達麻, 0:23 - 1:03, https://youtu.be/zaBp1Jh3Bkc
bushidou, Good Gas & JP THE WAVY, 0:06 - 0:47, https://youtu.be/yenEi5IOsQY
Bussin' feat. ¥ellow Bucks, AK-69, 0:05 - 0:50, https://youtu.be/HV3WNXCCh88
CHECK YOUR MIC, 晋平太, 0:26 - 1:07, https://youtu.be/vVLyNrlwCzw
Crayon, Fuji Taito, 0:54 - 1:36, https://youtu.be/m0x2jkAT6FE
FXXKED UP, Gucci Prince  feat.week dudus & Tade Dust& Bonbero, 0:15 - 1:56, https://youtu.be/P224mzzJPfc
GILA GILA, Awich feat. JP THE WAVY & YZERR, 1:28 - 2:19, https://youtu.be/nJaFpoo9Fl0
gioft, ¥ellow Bucks feat. JP THE WAVY, 0:12 - 0:47, https://youtu.be/gdJs6B4Opp4
High School Dropout, DA DA, 0:23 - 1:04, https://youtu.be/Z9sbVGWksUg
house party, eyden, 0:17 - 0:58, https://youtu.be/xgMT-6O0U8c
if i die, AK-69, 0:46 - 1:28, https://youtu.be/ixtllLU6YfI
I'm"T", MC TYSON, 0:10 - 0:52, https://youtu.be/Q2l7o4R8RPs
Lisa, ANARCHY, 0:16 - 0:57, https://youtu.be/vMt97Ti09wI
LOYALTY, ICE BAHN, 0:38 - 1:13, https://youtu.be/9HYbCIVu7Jc
NINOKUNI, OZworld feat.唾奇, 2019.12.03, https://youtu.be/BP2WeQyETiA
Our Style, Wilywnka, 1:46 - 2:27, https://youtu.be/P8RHkesysqY
rep, ZORN feat. MACCHO, 0:37 - 1:20, https://youtu.be/tjPQVvUHi3g
rgto, AKLO feat.SALU & 鋼田テフロン & Kダブシャイン, 0:30 - 1:13, https://youtu.be/TnJMBcQFNME
street dreams, Zeebra, 0:19 - 1:03, https://youtu.be/bYd6E8D4XB4
teddy bear, Wilywnka, 0:05 - 0:48, https://youtu.be/5C5L9V5uRfw
thanks, Authority feat. Seeda, 0:09 - 0:52, https://youtu.be/H7uHGPCZ9To
wave body, JP THE WAVY feat. OZworld & LEX & ¥ellow Bucks, 0:06 - 1:49, https://youtu.be/NMo_dVmVISU
whoru, Awich feat. ANARCHY, 0:22 - 1:02, https://youtu.be/r1AE6bmdUSk
yessir, ¥ellow Bucks feat. Eric.B. Jr., 0:10 - 0:53, https://youtu.be/L3R3y9PqvKA
YOUKAZE, 変態紳士クラブ,0:11 - 1:21, https://youtu.be/q09Gs6e5XVI
なんでも言っちゃって, LEX feat. JP THE WAVY, 0:18 - 1:22, https://youtu.be/kjVoa56_4x4
マジでハイ, 梅田サイファー feat. R-指定 & KZ & peko & ふぁんく & KOPERU & KBD & KennyDoes (prod. LIBRO), 0:01 - 1:05, https://youtu.be/vgwhZyKQUU8
真っ向勝負, KEN THE 390 feat. MC☆ニガリ a.k.a 赤い稲妻 & KOPERU & CHICO CARLITO & 晋平太, 0:32 - 1:12, https://youtu.be/5yd_PL_Vooc
君のまま, 百足 & 韻マン, 0:17 - 1:00, https://youtu.be/u7rBhwaMGwM
家庭の事情 ,ZORN,0:15 - 0:56, https://youtu.be/Sql6hLQCAXU
油断大敵 / NO SLEEP TILL (Prod. BACHLOGIC), Wilywnka feat. BYUNGSUNG KIM, 0:25 - 1:06, https://youtu.be/Nzc8rrkLCQc
紫煙 ,MC漢 x MAKI the MAGIC, 0:30 - 1:12, https://youtu.be/7YFZG7-1Q9Y
蜂と蝶 ,SOUL SCREAM, 0:43 - 1:25, https://youtu.be/yGsIG3XtY2g
零四六, ベル, 0:47 - 1:29, https://youtu.be/YqaXumQvBU0
